文件名,背景颜色(Background),相机高度(Height),总面积占比(Area_Ratio),累积灰度密度(IOD),最大聚集块面积(Max_Cluster),大块占比(Core_Ratio),Wear_Level
Blue_0 (1).jpg,Blue,0 (1),0.015868,2698592,5354,0.887992,1
Blue_0 (10).jpg,Blue,0 (10),0.029286,5229662,2594,0.796369,1
Blue_0 (100).jpg,Blue,0 (100),0.038748,6747767,3304,0.736236,1
Blue_0 (101).jpg,Blue,0 (101),0.024648,4263532,1463,0.72614,1
Blue_0 (102).jpg,Blue,0 (102),0.035951,6421685,4798,0.748612,1
Blue_0 (103).jpg,Blue,0 (103),0.04565,8277876,7181,0.77683,1
Blue_0 (104).jpg,Blue,0 (104),0.047917,8558771,4635,0.791078,1
Blue_0 (105).jpg,Blue,0 (105),0.053398,9690818,7080,0.793241,2
Blue_0 (106).jpg,Blue,0 (106),0.0539,9694696,5860,0.787535,2
Blue_0 (107).jpg,Blue,0 (107),0.034218,6005646,4946,0.733724,1
Blue_0 (108).jpg,Blue,0 (108),0.016126,2653171,1143,0.637868,0
Blue_0 (109).jpg,Blue,0 (109),0.01737,3111150,4793,0.755685,1
Blue_0 (11).jpg,Blue,0 (11),0.038303,7122549,4194,0.818952,1
Blue_0 (110).jpg,Blue,0 (110),0.021893,3965934,5609,0.763989,1
Blue_0 (111).jpg,Blue,0 (111),0.03598,6587503,7257,0.788745,1
Blue_0 (112).jpg,Blue,0 (112),0.039025,7201527,7323,0.792381,1
Blue_0 (113).jpg,Blue,0 (113),0.047043,8580279,7296,0.81294,2
Blue_0 (114).jpg,Blue,0 (114),0.050041,9194503,7217,0.807689,2
Blue_0 (115).jpg,Blue,0 (115),0.031673,5458681,2103,0.738129,1
Blue_0 (116).jpg,Blue,0 (116),0.02339,3736553,1578,0.702032,1
Blue_0 (117).jpg,Blue,0 (117),0.016978,2736016,952,0.656484,0
Blue_0 (118).jpg,Blue,0 (118),0.026936,4764309,3166,0.723413,1
Blue_0 (119).jpg,Blue,0 (119),0.050687,8336170,3439,0.728705,1
Blue_0 (12).jpg,Blue,0 (12),0.04274,7760254,5281,0.846023,1
Blue_0 (120).jpg,Blue,0 (120),0.032463,5696459,3111,0.715456,1
Blue_0 (121).jpg,Blue,0 (121),0.045514,8102569,5782,0.754017,1
Blue_0 (122).jpg,Blue,0 (122),0.051519,9280576,5713,0.772831,2
Blue_0 (123).jpg,Blue,0 (123),0.05249,9376423,5693,0.757333,2
Blue_0 (124).jpg,Blue,0 (124),0.059909,10771849,5766,0.782312,2
Blue_0 (125).jpg,Blue,0 (125),0.063653,11075691,5623,0.777014,2
Blue_0 (126).jpg,Blue,0 (126),0.066838,11866313,5598,0.785853,2
Blue_0 (127).jpg,Blue,0 (127),0.047939,8563918,5748,0.760531,1
Blue_0 (128).jpg,Blue,0 (128),0.029935,5205068,1901,0.662281,1
Blue_0 (129).jpg,Blue,0 (129),0.015484,2466213,923,0.56363,0
Blue_0 (13).jpg,Blue,0 (13),0.046814,8286057,5278,0.862831,2
Blue_0 (130).jpg,Blue,0 (130),0.026789,4722241,3885,0.715136,1
Blue_0 (131).jpg,Blue,0 (131),0.039403,7021489,3884,0.755604,1
Blue_0 (132).jpg,Blue,0 (132),0.044517,7839164,7678,0.778658,1
Blue_0 (133).jpg,Blue,0 (133),0.050719,8806711,7702,0.792718,2
Blue_0 (134).jpg,Blue,0 (134),0.054295,9659206,10798,0.806607,2
Blue_0 (135).jpg,Blue,0 (135),0.037291,6533926,11048,0.755376,1
Blue_0 (136).jpg,Blue,0 (136),0.025229,4547971,3961,0.759193,1
Blue_0 (137).jpg,Blue,0 (137),0.037446,6542794,2668,0.780238,1
Blue_0 (138).jpg,Blue,0 (138),0.03639,6211548,2538,0.748606,1
Blue_0 (139).jpg,Blue,0 (139),0.020428,3486654,2507,0.677627,1
Blue_0 (14).jpg,Blue,0 (14),0.047744,8565236,5225,0.853003,2
Blue_0 (140).jpg,Blue,0 (140),0.036135,6339779,5122,0.77647,1
Blue_0 (141).jpg,Blue,0 (141),0.03744,6602399,5157,0.769425,1
Blue_0 (142).jpg,Blue,0 (142),0.051694,9228727,5045,0.800928,2
Blue_0 (143).jpg,Blue,0 (143),0.030473,5316962,3365,0.727781,1
Blue_0 (144).jpg,Blue,0 (144),0.040589,7096250,5170,0.783222,1
Blue_0 (145).jpg,Blue,0 (145),0.042321,7427986,5159,0.79217,1
Blue_0 (146).jpg,Blue,0 (146),0.051985,8959351,5122,0.820263,2
Blue_0 (147).jpg,Blue,0 (147),0.056293,9833229,5065,0.813897,2
Blue_0 (148).jpg,Blue,0 (148),0.059789,10736556,4979,0.82311,2
Blue_0 (149).jpg,Blue,0 (149),0.033818,5937396,2575,0.739083,1
Blue_0 (15).jpg,Blue,0 (15),0.053124,9548012,5322,0.855103,2
Blue_0 (150).jpg,Blue,0 (150),0.043454,7657565,6647,0.778535,1
Blue_0 (151).jpg,Blue,0 (151),0.022413,3702627,1456,0.653176,0
Blue_0 (152).jpg,Blue,0 (152),0.03715,6412280,2065,0.736396,1
Blue_0 (153).jpg,Blue,0 (153),0.050282,8715122,6128,0.792943,2
Blue_0 (154).jpg,Blue,0 (154),0.066058,11141694,6231,0.823355,2
Blue_0 (155).jpg,Blue,0 (155),0.059723,10543961,7312,0.783489,2
Blue_0 (156).jpg,Blue,0 (156),0.070607,12515204,8723,0.800433,2
Blue_0 (157).jpg,Blue,0 (157),0.041974,7220991,2593,0.733656,1
Blue_0 (158).jpg,Blue,0 (158),0.068626,11455791,5827,0.807276,2
Blue_0 (159).jpg,Blue,0 (159),0.054275,9488464,4485,0.79936,2
Blue_0 (16).jpg,Blue,0 (16),0.050783,9062251,5385,0.842742,2
Blue_0 (160).jpg,Blue,0 (160),0.025828,4276221,1608,0.646389,0
Blue_0 (161).jpg,Blue,0 (161),0.039395,6835087,4955,0.73638,1
Blue_0 (162).jpg,Blue,0 (162),0.049993,8693530,7022,0.769414,1
Blue_0 (163).jpg,Blue,0 (163),0.038877,6474653,2664,0.718859,1
Blue_0 (164).jpg,Blue,0 (164),0.046522,7948383,5583,0.763265,1
Blue_0 (165).jpg,Blue,0 (165),0.069015,11771602,5581,0.80333,2
Blue_0 (166).jpg,Blue,0 (166),0.047651,7975981,2811,0.744848,1
Blue_0 (167).jpg,Blue,0 (167),0.070779,12171702,6882,0.802484,2
Blue_0 (168).jpg,Blue,0 (168),0.027161,4518946,1545,0.690476,1
Blue_0 (169).jpg,Blue,0 (169),0.031071,5237934,3501,0.738676,1
Blue_0 (17).jpg,Blue,0 (17),0.03782,6968914,5586,0.81446,1
Blue_0 (170).jpg,Blue,0 (170),0.039015,6647068,3385,0.776894,1
Blue_0 (171).jpg,Blue,0 (171),0.046758,8152596,4118,0.797433,1
Blue_0 (172).jpg,Blue,0 (172),0.051069,9067474,4132,0.809094,2
Blue_0 (173).jpg,Blue,0 (173),0.032586,5448423,2352,0.745963,1
Blue_0 (174).jpg,Blue,0 (174),0.048001,8174794,5184,0.794973,1
Blue_0 (175).jpg,Blue,0 (175),0.058114,10138353,9542,0.821838,2
Blue_0 (176).jpg,Blue,0 (176),0.065021,11259905,9314,0.831968,2
Blue_0 (177).jpg,Blue,0 (177),0.034794,5655699,2329,0.731273,1
Blue_0 (178).jpg,Blue,0 (178),0.0461,7631060,1765,0.763922,1
Blue_0 (179).jpg,Blue,0 (179),0.05474,9476836,7046,0.795473,2
Blue_0 (18).jpg,Blue,0 (18),0.024657,4108994,3308,0.725224,1
Blue_0 (180).jpg,Blue,0 (180),0.063886,11248484,6600,0.81373,2
Blue_0 (181).jpg,Blue,0 (181),0.073554,12683862,6919,0.830395,2
Blue_0 (182).jpg,Blue,0 (182),0.054504,9263487,4438,0.796062,2
Blue_0 (183).jpg,Blue,0 (183),0.032109,5296031,2027,0.75615,1
Blue_0 (184).jpg,Blue,0 (184),0.044952,7562045,7558,0.797842,1
Blue_0 (185).jpg,Blue,0 (185),0.05325,9401971,7436,0.821742,2
Blue_0 (186).jpg,Blue,0 (186),0.061914,10679287,7077,0.823151,2
Blue_0 (187).jpg,Blue,0 (187),0.031072,5127499,2034,0.760791,1
Blue_0 (188).jpg,Blue,0 (188),0.044001,7311895,3208,0.78188,1
Blue_0 (189).jpg,Blue,0 (189),0.066707,11418059,5120,0.8294,2
Blue_0 (19).jpg,Blue,0 (19),0.036386,6427533,3304,0.758328,1
Blue_0 (190).jpg,Blue,0 (190),0.03827,6282908,1995,0.774171,1
Blue_0 (191).jpg,Blue,0 (191),0.050917,8697327,3349,0.800149,2
Blue_0 (192).jpg,Blue,0 (192),0.063414,10812394,6541,0.822251,2
Blue_0 (193).jpg,Blue,0 (193),0.071659,12216988,3376,0.824094,2
Blue_0 (194).jpg,Blue,0 (194),0.078229,13578902,3373,0.840657,2
Blue_0 (195).jpg,Blue,0 (195),0.061029,10517448,3718,0.831769,2
Blue_0 (196).jpg,Blue,0 (196),0.040564,6744394,2776,0.787476,1
Blue_0 (197).jpg,Blue,0 (197),0.051636,8775085,2659,0.805686,2
Blue_0 (198).jpg,Blue,0 (198),0.060418,10473582,3689,0.818358,2
Blue_0 (199).jpg,Blue,0 (199),0.067354,11386714,5795,0.83049,2
Blue_0 (2).jpg,Blue,0 (2),0.027558,4697959,4856,0.757688,1
Blue_0 (20).jpg,Blue,0 (20),0.040856,7286535,3200,0.7942,1
Blue_0 (200).jpg,Blue,0 (200),0.071627,12362760,5496,0.819591,2
Blue_0 (21).jpg,Blue,0 (21),0.04822,8739404,3148,0.789739,1
Blue_0 (22).jpg,Blue,0 (22),0.052786,9556784,3131,0.80065,2
Blue_0 (23).jpg,Blue,0 (23),0.058771,10842216,3104,0.81107,2
Blue_0 (24).jpg,Blue,0 (24),0.066033,12013100,3333,0.832769,2
Blue_0 (25).jpg,Blue,0 (25),0.027109,4738022,2027,0.676713,1
Blue_0 (26).jpg,Blue,0 (26),0.033133,5906706,2410,0.713313,1
Blue_0 (27).jpg,Blue,0 (27),0.03869,6697105,2366,0.727655,1
Blue_0 (28).jpg,Blue,0 (28),0.042609,7541655,2430,0.725705,1
Blue_0 (29).jpg,Blue,0 (29),0.048446,8697082,2392,0.753606,1
Blue_0 (3).jpg,Blue,0 (3),0.036518,5930874,4773,0.800565,1
Blue_0 (30).jpg,Blue,0 (30),0.065683,11892305,3020,0.803264,2
Blue_0 (31).jpg,Blue,0 (31),0.035356,6312374,2385,0.727228,1
Blue_0 (32).jpg,Blue,0 (32),0.020512,3585929,2782,0.705089,1
Blue_0 (33).jpg,Blue,0 (33),0.028362,5122043,6151,0.74011,1
Blue_0 (34).jpg,Blue,0 (34),0.034987,6427533,5487,0.785541,1
Blue_0 (35).jpg,Blue,0 (35),0.02542,4506730,4099,0.72839,1
Blue_0 (36).jpg,Blue,0 (36),0.043519,7924981,4049,0.808537,1
Blue_0 (37).jpg,Blue,0 (37),0.05512,10014781,4089,0.837142,2
Blue_0 (38).jpg,Blue,0 (38),0.057465,10567806,4038,0.831911,2
Blue_0 (39).jpg,Blue,0 (39),0.061337,11353595,3930,0.82989,2
Blue_0 (4).jpg,Blue,0 (4),0.04186,6828320,3369,0.820234,1
Blue_0 (40).jpg,Blue,0 (40),0.037645,6686430,4274,0.742809,1
Blue_0 (41).jpg,Blue,0 (41),0.028257,5042957,2011,0.706013,1
Blue_0 (42).jpg,Blue,0 (42),0.028661,5103474,6852,0.739305,1
Blue_0 (43).jpg,Blue,0 (43),0.03373,6146160,6815,0.768031,1
Blue_0 (44).jpg,Blue,0 (44),0.04353,8015737,6758,0.802478,1
Blue_0 (45).jpg,Blue,0 (45),0.042916,7712780,5217,0.797932,1
Blue_0 (46).jpg,Blue,0 (46),0.049352,9057317,6232,0.812897,2
Blue_0 (47).jpg,Blue,0 (47),0.053483,9819269,6067,0.819963,2
Blue_0 (48).jpg,Blue,0 (48),0.043427,7723647,2686,0.761856,1
Blue_0 (49).jpg,Blue,0 (49),0.029652,5132038,1242,0.681158,1
Blue_0 (5).jpg,Blue,0 (5),0.043767,7297392,4576,0.82735,1
Blue_0 (50).jpg,Blue,0 (50),0.023505,3844026,1010,0.628889,0
Blue_0 (51).jpg,Blue,0 (51),0.026353,4634978,3651,0.684728,1
Blue_0 (52).jpg,Blue,0 (52),0.030074,5202364,3581,0.667593,1
Blue_0 (53).jpg,Blue,0 (53),0.041713,7145195,3616,0.744635,1
Blue_0 (54).jpg,Blue,0 (54),0.040294,7129514,3484,0.717221,1
Blue_0 (55).jpg,Blue,0 (55),0.051748,8990865,3597,0.758151,1
Blue_0 (56).jpg,Blue,0 (56),0.057899,10391851,3649,0.768141,2
Blue_0 (57).jpg,Blue,0 (57),0.055608,9877144,3389,0.772225,2
Blue_0 (58).jpg,Blue,0 (58),0.061189,10994721,3456,0.788552,2
Blue_0 (59).jpg,Blue,0 (59),0.04596,7999781,3890,0.723328,1
Blue_0 (6).jpg,Blue,0 (6),0.047452,8027024,3139,0.83001,1
Blue_0 (60).jpg,Blue,0 (60),0.034043,5895611,1355,0.677759,1
Blue_0 (61).jpg,Blue,0 (61),0.027324,4647409,2207,0.664244,1
Blue_0 (62).jpg,Blue,0 (62),0.023864,4098323,1868,0.618333,0
Blue_0 (63).jpg,Blue,0 (63),0.033155,5742393,2181,0.716619,1
Blue_0 (64).jpg,Blue,0 (64),0.039422,7030593,2181,0.722826,1
Blue_0 (65).jpg,Blue,0 (65),0.044643,7926637,2018,0.740029,1
Blue_0 (66).jpg,Blue,0 (66),0.054827,9468887,3283,0.781987,2
Blue_0 (67).jpg,Blue,0 (67),0.057813,10256963,4372,0.777459,2
Blue_0 (68).jpg,Blue,0 (68),0.058251,10421006,4341,0.784535,2
Blue_0 (69).jpg,Blue,0 (69),0.041314,7262038,4453,0.753487,1
Blue_0 (7).jpg,Blue,0 (7),0.042265,6804953,3093,0.719211,1
Blue_0 (70).jpg,Blue,0 (70),0.031859,5395675,3684,0.704506,1
Blue_0 (71).jpg,Blue,0 (71),0.033853,5889309,3165,0.715055,1
Blue_0 (72).jpg,Blue,0 (72),0.033961,5921320,3096,0.691067,1
Blue_0 (73).jpg,Blue,0 (73),0.038956,6634617,3151,0.743886,1
Blue_0 (74).jpg,Blue,0 (74),0.041447,7233937,3115,0.74462,1
Blue_0 (75).jpg,Blue,0 (75),0.028695,4763972,1534,0.646323,1
Blue_0 (76).jpg,Blue,0 (76),0.019366,3248915,1520,0.604269,0
Blue_0 (77).jpg,Blue,0 (77),0.021806,3810644,1841,0.709395,1
Blue_0 (78).jpg,Blue,0 (78),0.021863,3894005,1781,0.684699,1
Blue_0 (79).jpg,Blue,0 (79),0.031238,5607571,3120,0.750877,1
Blue_0 (8).jpg,Blue,0 (8),0.010805,1576244,1342,0.648725,0
Blue_0 (80).jpg,Blue,0 (80),0.036087,6409623,3133,0.738439,1
Blue_0 (81).jpg,Blue,0 (81),0.023204,3936076,2852,0.711293,1
Blue_0 (82).jpg,Blue,0 (82),0.012803,1975920,769,0.57632,0
Blue_0 (83).jpg,Blue,0 (83),0.025622,4530554,5532,0.754754,1
Blue_0 (84).jpg,Blue,0 (84),0.03031,5445609,5479,0.77275,1
